"","short_name","TransferPriceMillionsEuros"
"1","D. Rice",116.6
"2","K. Havertz",75
"3","J. Timber",40
"4","M. Diaby",55
"5","P. Torres",33
"6","M. Rogers",9.4
"7","K. Nedeljkovic",7.6
"8","T. Adams",26.9
"9","H. Traor",25.62
"10","A. Scott",23
"11","M. Kerkez",17.87
"12","R. Faivre",15
"13","J. Kluivert",10.8
"14","M. Aarons",8.1
"15","N. Collins",26.85
"16","K. Schade",25
"17","M. Flekken",13
"18","Y. Konak",4.5
"19","H. Valdimarsson",3
"20","C. Baleba",27
"21","B. Verbruggen",20
"22","V. Barco",9.15
"23","A. Mazilu",3
"24","Z. Amdouni",18.6
"25","J. Trafford",17.3
"26","A. Ramsey",16.45
"27","J. Beyer",15
"28","S. Berge",13.9
"29","W. Odobert",12
"30","M. Obafemi",4
"31","H. Delcroix",3
"32","L. Koleosho",3
"33","M. Caicedo",116
"34","R. Lavia",62.1
"35","C. Nkunku",60
"36","C. Palmer",47
"37","A. Disasi",45
"38","N. Jackson",37
"39","L. Ugochukwu",27
"40","D. Petrovic",14
"41","A. Wharton",21.1
"42","D. Henderson",17.5
"43","D. Mu",8
"44","R. Holding",1.2
"45","A. Iwobi",25.7
"46","C. Bassey",22.5
"47","T. Castagne",13
"48","R. Jim",6.4
"49","D. Szoboszlai",70
"50","A. Mac",42
"51","R. Gravenberch",40
"52","W. Endo",20
"53","R. Giles",5.85
"54","T. Chong",4.7
"55","M. Andersen",3.5
"56","M. Nakamba",2.9
"57","T. Kaminski",2.9
"58","J. Brown",2.9
"59","D. Hashioka",2
"60","T. Holmes",1.17
"61","J. Gvardiol",90
"62","M. Nunes",62
"63","J. Doku",60
"64","M. Kovacic",29.1
"65","C. Echeverri",18.5
"66","M. Mount",64.2
"67","A. Onana",50.2
"68","A. Bay",5
"69","S. Tonali",64
"70","H. Barnes",44
"71","T. Livramento",37.2
"72","Y. Minteh",8
"73","I. Sangar",35
"74","A. Elanga",17.5
"75","C. Wood",17
"76","A. Omobamidele",12.85
"77","N. Dom",10
"78","M. Turner",8.15
"79","O. Vlachodimos",4.9
"80","C. Hudson",3.5
"81","C. Archer",21.55
"82","G. Hamer",17.3
"83","V. Souza",12.5
"84","A. Trusty",5.8
"85","B. Traor",4.6
"86","A. Slimane",2.7
"87","B. Johnson",55
"88","J. Maddison",46.3
"89","P. Porro",40
"90","D. Kulusevski",30
"91","R. Dr",25
"92","G. Vicario",18.5
"93","A. Phillips",2.3
"94","M. Kudus",43
"95","J. Ward",34.8
"96","K. Mavropanos",20
"97","A. Irving",1.76
"98","M. Cunha",50
"99","J. Bellegarde",15
"100","S. Bueno",12
"101","B. Traor",11
"102","E. Gonz",6
